Exposure measure,Skip OR,Skip CI lower,Skip CI upper,Skip p,Watch beta,Watch CI lower,Watch CI upper,Watch p,Cessation OR,Cessation p,Within-user OR,Within-user p,Interpretation
(a) Category streak,1.0365585668171038,0.9904377989121288,1.0848269963263515,0.1220538551122178,0.0618826978799682,0.0604338636353172,0.0633315321246201,0.0,1.0165092103226725,2.336051884931934e-47,1.0048714458844563,0.1991841302631107,Mixed
"(b) Time-gated category, 20 s",1.1851416066254274,1.147460903816256,1.224059680886185,6.770573187311916e-25,-0.0210333396583275,-0.0230032059702205,-0.019063473346435,3.0019248698261333e-97,1.0403626575202594,1.828461608472501e-05,1.050903489811809,0.0003127199206913,Fatigue-consistent
"(c) Temporal burst, 20 s",1.1721308056435928,1.1391389649031234,1.206078158915,1.1149172123783636e-27,-0.0586335220283603,-0.060108703199074,-0.0571583408576466,0.0,0.9937561460022392,0.023117958221567,0.975753907954592,1.6766166894600858e-08,Item rejection only
"(f-2) Rolling cumulative, 30 min",1.061914600463145,1.0106809027156431,1.1157454500691906,0.0172626174391641,0.0516796756825368,0.0501681763173704,0.0531911750477036,0.0,0.794805454312045,1.0175468208517059e-192,0.7384372045008103,1.6386821276639405e-13,Sustained engagement
"(h) Time-decayed exposure, 30 min",1.0865955322798493,1.0424256189496923,1.1326370239827244,8.769084895677357e-05,0.009991576641302,0.0084247998286311,0.011558353453973,7.560411792525708e-36,0.7801138160769342,1.1043666839683082e-148,0.6364011760582821,2.834373655507547e-62,Sustained engagement
