within_OR,within_p,within_ci_lo,within_ci_hi,between_OR,between_p,between_ci_lo,between_ci_hi,within_raw_sd,between_repeated_sd,converged,label,exposure,pooled_OR,pooled_p
1.0048714458844563,0.1991841302631107,0.9974442206285196,1.0123539761628308,0.9479997808849168,4.154528708761144e-15,0.9354442688258456,0.960723812746096,40.232807271253954,22.11364063366205,True,(a) category-only streak,a_streak,1.0165092103226725,2.336051884931934e-47
1.050903489811809,0.0003127199206913,1.022911436144729,1.0796615482773633,0.823059679339034,4.416452958022782e-05,0.7496371225830878,0.9036735446337094,0.5913072877311344,0.130494950869607,True,(b) time-gated T=20s,b_time20,1.0403626575202594,1.828461608472501e-05
0.975753907954592,1.6766166894600858e-08,0.9674700538505632,0.9841086916326616,0.7416040228598085,2.67087933295016e-11,0.6791819831154418,0.8097631274008205,1.0794927452534682,0.2206230718354793,True,(c) burst T=20s,c_burst20,0.9937561460022392,0.023117958221567
1.0046449298623257,0.2127972307101405,0.9973475957942188,1.011995656633965,0.9475600278965298,7.782632331515772e-17,0.9356329476022828,0.9596391499125974,40.23377603447774,22.11288012534469,True,(d) Jaccard >= 0.5,d_jac050,1.016460941135804,5.8196618781066695e-49
1.0502965643493465,0.0002273886882574,1.0232485528240067,1.07805954871824,0.8248241978333847,3.5160599684947806e-05,0.752901346738244,0.9036176655532184,0.5963410665556357,0.1308136329063183,True,(e) Jaccard >= 0.5 & T=20s,e_combo050_T20,1.040155452756936,1.4702974668829914e-05
1.1100834253456189,1.654499317497166e-06,1.063661186959036,1.1585317075920718,0.0253765137459481,4.4171671883044886e-27,0.0130093389005253,0.0495003977390648,45.27287736383538,26.31534368009353,True,(f-1) inferred-session cumulative,f1_session_cum,1.0269974337783383,4.772674044224011e-07
0.7384372045008103,1.6386821276639405e-13,0.681269123932525,0.8004024926938839,0.22467955204777,0.0386543897956464,0.0545704051313803,0.925060039170534,4.105460785486973,2.372390029268598,True,(f-2) rolling cumulative W=30m,cumexp_W30m,0.794805454312045,1.0175468208517059e-192
0.7143098079349889,6.156607605115418e-08,0.6324014437307183,0.8068269083986854,0.1949325670706723,0.0931832102711792,0.0288974191258651,1.3149515373416418,7.470287157031531,4.58164556257299,True,(f-2) rolling cumulative W=60m,cumexp_W60m,0.7857794583938601,1.039818833602676e-164
0.6463670498498263,5.5534663205881966e-129,0.6238869218138499,0.6696571903076767,0.0333965351107892,5.10893300911762e-80,0.023493551782183,0.0474738161239639,19.640450612757924,12.356774980376183,True,(f-2) rolling cumulative W=180m,cumexp_W180m,0.97336564602527,0.2351273652845155
1.0069870980343107,0.0040921600426033,1.0022118518703858,1.0117850968486692,1.0153776740574203,0.7016835933518413,0.9391085657061974,1.0978409298172729,0.1110646418058841,0.0251562800258398,True,(g) sliding density N=20,density_N20,1.006991624149129,0.0059190570647591
